,frases
62748,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62749,deseja saber
62750,adicionar objeto carrinho
62751,realizar compra online necessario feito primeiro cadastro criando conta opcao criar conta pagina principal
62752,precisar alterar algum dado cadastro tambem necessario acessar conta
62753,ajudar
62754,nao
62755,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
62759,antonio vamos conversar sobre
62760,favor escolha opcoes abaixo
62762,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62763,deseja saber
62766,sp
62767,pena caio britto percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
62768,voce deseje falar armazem paraiba regiao <SITE>
62769,deseja continuar conversa clique continuar
62770,sim
62771,caio britto vamos conversar sobre
62772,favor escolha opcoes abaixo
62776,rafael vamos conversar sobre
62777,favor escolha opcoes abaixo
62779,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62780,deseja saber
62781,faco enviar curriculo
62782,so rafael voce pode enviar curriculo <NUMERO>
62783,ajudar alguma coisa
62786,pb
62787,maria jose vamos conversar sobre
62788,favor escolha opcoes abaixo
62789,duvidas
62790,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62791,deseja saber
62792,boa noite
62793,favor escolha opcoes abaixo
62794,duvidas
62795,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62796,deseja saber
62797,nao consigo realizar compra
62798,jose realizar compra online necessario feito primeiro cadastro criando conta opcao criar conta pagina principal
62799,precisar alterar algum dado cadastro tambem necessario acessar conta
62800,ajudar
62801,sim
62802,maria jose
62805,pb
62806,isadora vamos conversar sobre
62807,favor escolha opcoes abaixo
62808,troca devolucao
62809,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
62810,falar atendente humano
62811,sim
62812,botao abaixo vou redirecionar atendimento
62813,trueconsultahumano
62814,instante verificando alguem online
62815,falsechatonline
62816,momento nao ninguem atender tente novamente outro horario
62819,pi
62820,pena ricardo percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
62821,voce deseje falar armazem paraiba regiao <SITE>
62822,deseja continuar conversa clique continuar
62823,tchau estado
62824,entrar contato gente abracos
62827,ce
62828,josenir mota vamos conversar sobre
62829,favor escolha opcoes abaixo
62832,pb
62833,severino franca vamos conversar sobre
62834,favor escolha opcoes abaixo
62835,duvidas
62836,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62837,deseja saber
62838,fazer nome pessoa pegar pedido errado
62839,voce quer outra pessoa retire produto lugar entao solicitacao vai precisar ser feita <NUMERO> alguem auxiliar deve fazer
62840,alguma ajuda
62841,nao
62842,ajudar
62843,sim
62848,aline vamos conversar sobre
62849,favor escolha opcoes abaixo
62850,devolucao
62851,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
62852,falar atendente humano
62855,momento nao ninguem atender tente novamente outro horario
62857,breve bjs
62861,rany vamos conversar sobre
62862,favor escolha opcoes abaixo
62864,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62865,deseja saber
62866,loja terceiros
62867,voce quer outra pessoa retire produto lugar entao solicitacao vai precisar ser feita <NUMERO> alguem auxiliar deve fazer
62868,alguma ajuda
62870,ajudar
62873,barb pb
62874,tamires mayara barb vamos conversar sobre
62875,favor escolha opcoes abaixo
62876,barb duvidas
62877,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62878,deseja saber
62879,barb voces estao recebendo curriculo
62880,so tamires mayara barb voce pode enviar curriculo <NUMERO>
62881,ajudar alguma coisa
62885,lays vamos conversar sobre
62886,favor escolha opcoes abaixo
62888,lojas armazem paraiba claudino estao localizadas estados
62889,pb
62890,opcoes abaixo
62892,contato localizacao
62894,favor escolha opcoes abaixo
62896,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62897,deseja saber
62898,comprar conjunto mesa <NUMERO> cadeiras
62899,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
62900,ajudar alguma coisa
62902,favor escolha opcoes abaixo
62904,lojas armazem paraiba claudino estao localizadas estados
62905,pb
62906,opcoes abaixo
62907,grande
62908,contato localizacao
62914,karla vamos conversar sobre
62915,favor escolha opcoes abaixo
62917,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62918,deseja saber
62919,saber produtos filiais sao valor so site
62920,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
62921,ajudar alguma coisa
62923,favor escolha opcoes abaixo
62925,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62926,deseja saber
62927,saber produtos filiais sao valor site pfvr
62928,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
62929,ajudar alguma coisa
62931,favor escolha opcoes abaixo
62933,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62934,deseja saber
62935,saber produtos filiais sao valor site pfvrgostaria saber produtos filiais sao valor site pfvrgostaria saber produtos filiais valor site
62936,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
62937,ajudar alguma coisa
62939,favor escolha opcoes abaixo
62941,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62942,deseja saber
62943,gostaria saber comprando moveis filial frente gratis
62944,vou saber colegas sobre voce falou proxima vez ja vou tentar ajudar aqui ta
62945,ajudar alguma coisa
62947,favor escolha opcoes abaixo
62949,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62950,deseja saber
62951,voce poderia dar resposta concreta
62952,nao entendendo
62953,favor escolha opcoes abaixo
62955,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62956,deseja saber
62957,contas voce nao tirou nenhuma duvidas
62958,precisa recuperar senha necessario voce clique entrar seguida clicar esqueci senha sera necessario informar mail cadastrado seguir passos fazer nova senha
62959,quer alterar alguma coisa cadastro acesse conta altere necessario
62960,ajudar
62962,vou tentar ver colegas proxima vez consiga ajudar melhor abracos
62966,debora vamos conversar sobre
62967,favor escolha opcoes abaixo
62969,favor informa numero pedido <PEDIDO>
62971,nao consegui encontrar compras pedido confirma pedido novamente
62973,nao consegui localizar pedido vou abrir chamado interno ajudar ate <NUMERO> horas damos retorno vou precisar preencha informacoes abaixo
62975,chamado aberto peco compreensao relacao prazo ja equipe atendimento contingencia devido coronavirus ah puder fique casa br> br> tchau ate
62979,pena teste percebi estado voce falando nao possui lojas armazem paraiba claudino atuamos apenas estados pb pe ce ba
62980,voce deseje falar armazem paraiba regiao <SITE>
62981,deseja continuar conversa clique continuar
62983,entrar contato teste estarei sempre aqui
62986,ico ce
62987,contato loja ico vamos conversar sobre
62988,favor escolha opcoes abaixo
62989,ico pedido
62990,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
62993,neves pb
62994,maria neves vamos conversar sobre
62995,favor escolha opcoes abaixo
62996,neves duvidas
62997,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
62998,deseja saber
63001,pb
63002,erica vamos conversar sobre
63003,favor escolha opcoes abaixo
63004,duvidas
63005,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
63006,deseja saber
63009,pb
63010,rosineia oliveira vamos conversar sobre
63011,favor escolha opcoes abaixo
63012,troca devolucao
63013,oliveira duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
63014,falar atendente humano
63015,sim
63016,redirecionar atendente humano clique botao abaixo
63017,trueconsultahumano
63018,instante verificando alguem online
63019,falsechatonline
63020,oliveira momento nao ninguem atender tente novamente outro horario
63021,tchau
63022,breve bjs
63025,medeir pb
63026,marcio gomes medeir vamos conversar sobre
63027,favor escolha opcoes abaixo
63028,medeir duvidas
63029,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
63030,deseja saber
63031,medeir cancelamento umas compras
63032,gomes medeir duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
63033,falar atendente humano
63034,medeir nao
63035,ajudar
63036,medeir nao
63037,medeir falsechatonline
63038,gomes medeir momento nao ninguem atender tente novamente outro horario
63039,medeir tchau
63040,breve bjs
63044,diane vamos conversar sobre
63045,favor escolha opcoes abaixo
63047,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
63048,deseja saber
63049,mudar email pos errado
63050,cadastrado mail errado voce podera realizar outro cadastro cpf problemas
63051,ajudar
63053,diane
63057,ruthsheilla vamos conversar sobre
63058,favor escolha opcoes abaixo
63060,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
63061,deseja saber
63062,pedido bloqueado queria saber pq
63063,nao entendendo
63064,favor escolha opcoes abaixo
63065,devolucao
63066,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
63067,falar atendente humano
63070,momento nao ninguem atender tente novamente outro horario
63072,breve bjs
63075,pb
63076,stefania vamos conversar sobre
63077,favor escolha opcoes abaixo
63078,pedido
63079,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
63080,nao chegou nada imail
63081,nao entendendo
63082,favor escolha opcoes abaixo
63083,pedido
63084,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
63085,<NUMERO>
63086,nao entendi
63087,favor escolha opcoes abaixo
63088,troca devolucao
63089,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
63090,falar atendente humano
63091,sim
63092,botao abaixo vou redirecionar atendimento
63093,trueconsultahumano
63094,instante verificando alguem online
63095,falsechatonline
63096,momento nao ninguem atender tente novamente outro horario
63097,tchau
63098,breve bjs
63101,pb
63102,genesia vamos conversar sobre
63103,favor escolha opcoes abaixo
63104,pedido
63105,ajudar preciso numero pedido compra <PEDIDO> voce pode encontra mail enviamos compra realizada
63108,pb
63109,ana carla vamos conversar sobre
63110,favor escolha opcoes abaixo
63111,duvidas
63112,ainda aprendendo vao ter algumas coisas aqui nao vou conseguir ajudar agora proxima vez vou tentar ser melhor
63113,deseja saber
63117,kaliany vamos conversar sobre
63118,favor escolha opcoes abaixo
63119,devolucao
63120,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
63121,falar atendente humano
63123,ajudar
63125,kaliany
63128,pe
63129,ana carolina vamos conversar sobre
63130,favor escolha opcoes abaixo
63131,troca devolucao
63132,carolina duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
63133,falar atendente humano
63134,sim
63135,redirecionar atendente humano clique botao abaixo
63136,trueconsultahumano
63137,instante verificando alguem online
63138,falsechatonline
63139,carolina momento nao ninguem atender tente novamente outro horario
63142,mel pb
63143,rafael brito mel vamos conversar sobre
63144,favor escolha opcoes abaixo
63147,pe
63148,nadia vamos conversar sobre
63149,favor escolha opcoes abaixo
63150,troca devolucao
63151,duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
63152,falar atendente humano
63156,aline vamos conversar sobre
63157,favor escolha opcoes abaixo
63158,devolucao
63159,preparamos conteudo completo sobre duvidas desse tema <SITE>
63160,duvidas relacao cancelamento pode entrar contato atraves numero <NUMERO> algum colega ira ajudar
63161,ajudar
63163,favor preciso insira dados abaixo possamos entrar contato voce
63166,pe
63167,alef marinho vamos conversar sobre
63168,favor escolha opcoes abaixo
63169,troca devolucao
63170,marinho duvidas relacao cancelamento podera entrar contato atraves numero <NUMERO> algum colega ira ajudar tambem posso transferir atendente humano
